date,state,candidate,vote_perc,is_nominee,won_state,event_type
2008-02-05,Tennessee,Barack Obama,26,TRUE,FALSE,primary
2008-02-05,Utah,Barack Obama,30,TRUE,FALSE,primary
2008-02-09,Louisiana,Barack Obama,59,TRUE,TRUE,primary
2008-02-09,Nebraska,Barack Obama,32,TRUE,TRUE,caucus
2008-02-09,U.S. Virgin Islands territorial convention,Barack Obama,56,TRUE,TRUE,primary
2008-02-09,Washington,Barack Obama,45,TRUE,TRUE,caucus
2008-02-10,Maine municipal,Barack Obama,0,TRUE,FALSE,caucus
NA,Democrats Abroad,Barack Obama,0,TRUE,FALSE,primary
2008-02-12,District of Columbia,Barack Obama,0,TRUE,FALSE,primary
2008-02-12,Maryland,Barack Obama,0,TRUE,FALSE,primary
2008-02-12,Virginia,Barack Obama,0,TRUE,FALSE,primary
2008-02-19,Hawaii,Barack Obama,0,TRUE,FALSE,caucus
2008-02-19,Wisconsin,Barack Obama,0,TRUE,FALSE,primary
2008-03-04,Ohio,Barack Obama,0,TRUE,FALSE,primary
2008-03-04,Rhode Island,Barack Obama,0,TRUE,FALSE,primary
2008-03-04,Texas,Barack Obama,0,TRUE,FALSE,primary
2008-03-04,Texas conventions,Barack Obama,0,TRUE,FALSE,primary
2008-03-04,Vermont,Barack Obama,0,TRUE,FALSE,primary
2008-03-08,Wyoming county,Barack Obama,0,TRUE,FALSE,caucus
2008-03-11,Mississippi,Barack Obama,0,TRUE,FALSE,primary
2008-03-15,Iowa county conventions,Barack Obama,0,TRUE,FALSE,primary
2008-03-29,Texas county and senatorial district conventions,Barack Obama,0,TRUE,FALSE,primary
2008-04-22,Pennsylvania,Barack Obama,1,TRUE,FALSE,primary
2008-04-26,Iowa district conventions,Barack Obama,17,TRUE,FALSE,primary
2008-05-03,Guam territorial convention,Barack Obama,4,TRUE,FALSE,primary
2008-05-06,Indiana,Barack Obama,18,TRUE,FALSE,primary
2008-05-06,North Carolina,Barack Obama,14,TRUE,FALSE,primary
2008-05-13,West Virginia,Barack Obama,1,TRUE,FALSE,primary
NA,Colorado congressional district conventions,Barack Obama,5,TRUE,FALSE,primary
2008-05-17,Colorado state convention,Barack Obama,2,TRUE,FALSE,primary
2008-05-17,Kansas state convention,Barack Obama,0,TRUE,TRUE,primary
2008-05-17,Nevada state convention,Barack Obama,0,TRUE,FALSE,primary
2008-05-17,Washington congressional district,Barack Obama,1,TRUE,FALSE,caucus
2008-05-20,Kentucky,Barack Obama,1,TRUE,FALSE,primary
2008-05-20,Oregon,Barack Obama,2,TRUE,FALSE,primary
2008-05-24,Alaska state convention,Barack Obama,1,TRUE,FALSE,primary
2008-05-24,Wyoming state convention,Barack Obama,2,TRUE,FALSE,primary
2008-05-31,Maine state convention,Barack Obama,0,TRUE,FALSE,caucus
2008-06-01,Puerto Rico,Barack Obama,2,TRUE,FALSE,primary
2008-06-03,Montana,Barack Obama,0,TRUE,FALSE,primary
2008-06-03,South Dakota,Barack Obama,2,TRUE,FALSE,primary
NA,Texas state convention,Barack Obama,1,TRUE,FALSE,primary
2008-06-14,Iowa state convention,Barack Obama,0,TRUE,TRUE,primary
2008-06-21,Puerto Rico commonwealth convention,Barack Obama,0,TRUE,TRUE,primary
2008-01-03,Iowa,Mike Gravel,3,FALSE,FALSE,caucus
2008-01-08,New Hampshire,Mike Gravel,1,FALSE,FALSE,primary
2008-01-15,Michigan,Mike Gravel,0,FALSE,FALSE,primary
2008-01-19,Nevada,Mike Gravel,1,FALSE,FALSE,caucus
2008-01-26,South Carolina,Mike Gravel,1,FALSE,FALSE,primary
2008-01-29,Florida,Mike Gravel,0,FALSE,FALSE,primary
2008-02-05,Alabama,Mike Gravel,0,FALSE,FALSE,primary
2008-02-05,Alaska,Mike Gravel,0,FALSE,FALSE,caucus
2008-02-05,American Samoa,Mike Gravel,1,FALSE,FALSE,caucus
2008-02-05,Arizona,Mike Gravel,1,FALSE,FALSE,primary
2008-02-05,Arkansas,Mike Gravel,1,FALSE,FALSE,primary
2008-02-05,California,Mike Gravel,1,FALSE,FALSE,primary
2008-02-05,Colorado,Mike Gravel,7,FALSE,FALSE,caucus
2008-02-05,Connecticut,Mike Gravel,2,FALSE,FALSE,primary
2008-02-05,Delaware,Mike Gravel,0,FALSE,FALSE,primary
2008-02-05,Georgia,Mike Gravel,1,FALSE,FALSE,primary
2008-02-05,Idaho county,Mike Gravel,0,FALSE,FALSE,caucus
2008-02-05,Illinois,Mike Gravel,0,FALSE,FALSE,primary
2008-02-05,Kansas local unit conventions,Mike Gravel,0,FALSE,FALSE,primary
2008-02-05,Massachusetts,Mike Gravel,1,FALSE,FALSE,primary
2008-02-05,Minnesota,Mike Gravel,0,FALSE,FALSE,caucus
2008-02-05,Missouri,Mike Gravel,0,FALSE,FALSE,primary
2008-02-05,New Jersey,Mike Gravel,0,FALSE,FALSE,primary
2008-02-05,New Mexico,Mike Gravel,0,FALSE,FALSE,caucus
2008-02-05,New York,Mike Gravel,0,FALSE,FALSE,primary
2008-02-05,North Dakota,Mike Gravel,0,FALSE,FALSE,caucus
2008-02-05,Oklahoma,Mike Gravel,0,FALSE,FALSE,primary
2008-02-05,Tennessee,Mike Gravel,0,FALSE,FALSE,primary
