state,candidate,date,vote_perc,delegates,won_state,is_nominee,event_type
New Hampshire,Bob Kerrey,1992-02-18,11.08,18,FALSE,FALSE,primary
Maine,Bob Kerrey,1992-02-23,3.01,23,FALSE,FALSE,caucus
South Dakota,Bob Kerrey,1992-02-25,40.12,15,TRUE,FALSE,primary
Colorado,Bob Kerrey,1992-03-03,12.34,47,FALSE,FALSE,primary
Georgia,Bob Kerrey,1992-03-03,4.85,76,FALSE,FALSE,primary
Idaho,Bob Kerrey,1992-03-03,NA,18,NA,FALSE,caucus
Maryland,Bob Kerrey,1992-03-03,5.09,67,FALSE,FALSE,primary
Minnesota,Bob Kerrey,1992-03-03,NA,78,NA,FALSE,caucus
Utah,Bob Kerrey,1992-03-03,10.58,23,FALSE,FALSE,caucus
Washington,Bob Kerrey,1992-03-03,6.14,71,FALSE,FALSE,caucus
Arizona,Bob Kerrey,1992-03-07,NA,41,NA,FALSE,caucus
South Carolina,Bob Kerrey,1992-03-07,0.49,43,FALSE,FALSE,primary
Wyoming,Bob Kerrey,1992-03-07,NA,13,NA,FALSE,caucus
Nevada,Bob Kerrey,1992-03-08,0.97,17,FALSE,FALSE,caucus
Florida,Bob Kerrey,1992-03-10,1.06,148,FALSE,FALSE,primary
Hawaii,Bob Kerrey,1992-03-10,0.4,14,FALSE,FALSE,caucus
Louisiana,Bob Kerrey,1992-03-10,0.78,60,FALSE,FALSE,primary
Massachusetts,Bob Kerrey,1992-03-10,0.68,94,FALSE,FALSE,primary
Mississippi,Bob Kerrey,1992-03-10,0.87,39,FALSE,FALSE,primary
Missouri,Bob Kerrey,1992-03-10,NA,77,NA,FALSE,primary
Oklahoma,Bob Kerrey,1992-03-10,3.2,45,FALSE,FALSE,primary
Texas,Bob Kerrey,1992-03-10,1.37,0,FALSE,FALSE,primary
Illinois,Bob Kerrey,1992-03-17,0.73,164,FALSE,FALSE,primary
Michigan,Bob Kerrey,1992-03-17,0.55,131,FALSE,FALSE,primary
Democrats Abroad[8],Bob Kerrey,1992-03-19,NA,0,NA,FALSE,caucus
North Dakota,Bob Kerrey,1992-03-19,1.23,14,FALSE,FALSE,caucus
Connecticut,Bob Kerrey,1992-03-24,0.68,53,FALSE,FALSE,primary
Vermont,Bob Kerrey,1992-03-31,NA,14,NA,FALSE,caucus
Alaska,Bob Kerrey,1992-04-02,NA,13,NA,FALSE,caucus
Puerto Rico,Bob Kerrey,1992-04-05,1.43,51,FALSE,FALSE,primary
Kansas,Bob Kerrey,1992-04-07,1.38,36,FALSE,FALSE,primary
Minnesota,Bob Kerrey,1992-04-07,0.58,78,FALSE,FALSE,primary
New York,Bob Kerrey,1992-04-07,1.11,244,FALSE,FALSE,primary
Wisconsin,Bob Kerrey,1992-04-07,0.39,82,FALSE,FALSE,primary
Virginia,Bob Kerrey,1992-04-11,NA,78,NA,FALSE,caucus
Pennsylvania,Bob Kerrey,1992-04-28,1.64,169,FALSE,FALSE,primary
Delaware,Bob Kerrey,1992-05-05,NA,14,NA,FALSE,caucus
Indiana,Bob Kerrey,1992-05-05,3.01,77,FALSE,FALSE,primary
North Carolina,Bob Kerrey,1992-05-05,0.9,84,FALSE,FALSE,primary
"Washington, D.C.",Bob Kerrey,1992-05-05,NA,17,NA,FALSE,primary
Nebraska,Bob Kerrey,1992-05-12,NA,25,NA,FALSE,primary
West Virginia,Bob Kerrey,1992-05-12,1.03,31,FALSE,FALSE,primary
Oregon,Bob Kerrey,1992-05-19,NA,47,NA,FALSE,primary
Washington,Bob Kerrey,1992-05-19,1.01,71,FALSE,FALSE,primary
Idaho,Bob Kerrey,1992-05-26,NA,18,NA,FALSE,primary
Kentucky,Bob Kerrey,1992-05-26,0.88,52,FALSE,FALSE,primary
Arkansas,Bob Kerrey,1992-05-27,NA,36,NA,FALSE,primary
Alabama,Bob Kerrey,1992-06-02,NA,55,NA,FALSE,primary
California,Bob Kerrey,1992-06-02,1.19,348,FALSE,FALSE,primary
Montana,Bob Kerrey,1992-06-02,NA,16,NA,FALSE,primary
New Jersey,Bob Kerrey,1992-06-02,NA,105,NA,FALSE,primary
New Mexico,Bob Kerrey,1992-06-02,NA,25,NA,FALSE,primary
Ohio,Bob Kerrey,1992-06-02,2.2,151,FALSE,FALSE,primary
North Dakota,Bob Kerrey,1992-06-09,NA,14,NA,FALSE,primary
Iowa,Tom Harkin,1992-02-10,76.55,49,TRUE,FALSE,caucus
New Hampshire,Tom Harkin,1992-02-18,10.18,18,FALSE,FALSE,primary
Maine,Tom Harkin,1992-02-23,4.99,23,FALSE,FALSE,caucus
South Dakota,Tom Harkin,1992-02-25,25.23,15,FALSE,FALSE,primary
Colorado,Tom Harkin,1992-03-03,2.45,47,FALSE,FALSE,primary
Georgia,Tom Harkin,1992-03-03,2.09,76,FALSE,FALSE,primary
Idaho,Tom Harkin,1992-03-03,29.57,18,TRUE,FALSE,caucus
Maryland,Tom Harkin,1992-03-03,6.2,67,FALSE,FALSE,primary
Minnesota,Tom Harkin,1992-03-03,26.7,78,TRUE,FALSE,caucus
Utah,Tom Harkin,1992-03-03,4.01,23,FALSE,FALSE,caucus
Washington,Tom Harkin,1992-03-03,7.52,71,FALSE,FALSE,caucus
Arizona,Tom Harkin,1992-03-07,7.6,41,FALSE,FALSE,caucus
South Carolina,Tom Harkin,1992-03-07,6.58,43,FALSE,FALSE,primary
Wyoming,Tom Harkin,1992-03-07,14.29,13,FALSE,FALSE,caucus
Nevada,Tom Harkin,1992-03-08,0.45,17,FALSE,FALSE,caucus
Florida,Tom Harkin,1992-03-10,1.22,148,FALSE,FALSE,primary
Hawaii,Tom Harkin,1992-03-10,12.71,14,FALSE,FALSE,caucus
Louisiana,Tom Harkin,1992-03-10,1.05,60,FALSE,FALSE,primary
Massachusetts,Tom Harkin,1992-03-10,0.48,94,FALSE,FALSE,primary
Mississippi,Tom Harkin,1992-03-10,1.31,39,FALSE,FALSE,primary
Missouri,Tom Harkin,1992-03-10,NA,77,NA,FALSE,primary
Oklahoma,Tom Harkin,1992-03-10,3.4,45,FALSE,FALSE,primary
Texas,Tom Harkin,1992-03-10,1.32,0,FALSE,FALSE,primary
Illinois,Tom Harkin,1992-03-17,2.04,164,FALSE,FALSE,primary
Michigan,Tom Harkin,1992-03-17,1.07,131,FALSE,FALSE,primary
Democrats Abroad[8],Tom Harkin,1992-03-19,7,0,FALSE,FALSE,caucus
North Dakota,Tom Harkin,1992-03-19,6.96,14,FALSE,FALSE,caucus
Connecticut,Tom Harkin,1992-03-24,1.11,53,FALSE,FALSE,primary
Vermont,Tom Harkin,1992-03-31,NA,14,NA,FALSE,caucus
Alaska,Tom Harkin,1992-04-02,NA,13,NA,FALSE,caucus
