date,state,candidate,vote_perc,is_nominee,won,event_type
2004-04-24,Guam,Howard Dean,0,FALSE,FALSE,caucus
2004-04-27,Pennsylvania,Howard Dean,10,FALSE,FALSE,primary
2004-05-04,Indiana,Howard Dean,7,FALSE,FALSE,primary
2004-05-11,Nebraska,Howard Dean,7,FALSE,FALSE,primary
2004-05-11,West Virginia,Howard Dean,4,FALSE,FALSE,primary
2004-05-18,Arkansas,Howard Dean,0,FALSE,FALSE,primary
2004-05-18,Kentucky,Howard Dean,4,FALSE,FALSE,primary
2004-05-18,Oregon,Howard Dean,0,FALSE,FALSE,primary
2004-06-01,Alabama,Howard Dean,0,FALSE,FALSE,primary
2004-06-01,South Dakota,Howard Dean,6,FALSE,FALSE,primary
2004-06-06,Puerto Rico,Howard Dean,0,FALSE,FALSE,caucus
2004-06-08,Montana,Howard Dean,0,FALSE,FALSE,primary
2004-06-08,New Jersey,Howard Dean,0,FALSE,FALSE,primary
2004-01-14,District of Columbia,John Edwards,0,FALSE,FALSE,primary
2004-01-19,Iowa,John Edwards,32,FALSE,FALSE,caucus
2004-01-27,New Hampshire,John Edwards,12,FALSE,FALSE,primary
2004-02-03,Arizona,John Edwards,7,FALSE,FALSE,primary
2004-02-03,Delaware,John Edwards,11,FALSE,FALSE,primary
2004-02-03,Missouri,John Edwards,25,FALSE,FALSE,primary
2004-02-03,New Mexico,John Edwards,11,FALSE,FALSE,caucus
2004-02-03,North Dakota,John Edwards,10,FALSE,FALSE,caucus
2004-02-03,Oklahoma,John Edwards,30,FALSE,TRUE,primary
2004-02-03,South Carolina,John Edwards,45,FALSE,TRUE,primary
2004-02-07,Michigan,John Edwards,13,FALSE,FALSE,caucus
2004-02-07,Washington,John Edwards,7,FALSE,FALSE,caucus
2004-02-08,Maine,John Edwards,8,FALSE,FALSE,caucus
2004-02-10,Tennessee,John Edwards,26,FALSE,FALSE,primary
2004-02-10,Virginia,John Edwards,27,FALSE,FALSE,primary
2004-02-14,District of Columbia,John Edwards,10,FALSE,FALSE,caucus
2004-02-14,Nevada,John Edwards,10,FALSE,FALSE,caucus
2004-02-17,Wisconsin,John Edwards,34,FALSE,FALSE,primary
2004-02-24,Hawaii,John Edwards,13,FALSE,FALSE,caucus
2004-02-24,Idaho,John Edwards,22,FALSE,FALSE,caucus
2004-02-24,Utah,John Edwards,30,FALSE,FALSE,primary
2004-03-02,California,John Edwards,20,FALSE,FALSE,primary
2004-03-02,Connecticut,John Edwards,24,FALSE,FALSE,primary
2004-03-02,Georgia,John Edwards,42,FALSE,FALSE,primary
2004-03-02,Maryland,John Edwards,26,FALSE,FALSE,primary
2004-03-02,Massachusetts,John Edwards,18,FALSE,FALSE,primary
2004-03-02,Minnesota,John Edwards,27,FALSE,FALSE,caucus
2004-03-02,New York,John Edwards,0,FALSE,FALSE,primary
2004-03-02,Ohio,John Edwards,34,FALSE,FALSE,primary
2004-03-02,Rhode Island,John Edwards,19,FALSE,FALSE,primary
2004-03-02,Vermont[47],John Edwards,6,FALSE,FALSE,primary
2004-03-09,American Samoa,John Edwards,0,FALSE,FALSE,caucus
2004-03-09,Florida,John Edwards,10,FALSE,FALSE,primary
2004-03-09,Louisiana,John Edwards,16,FALSE,FALSE,primary
2004-03-09,Mississippi,John Edwards,7,FALSE,FALSE,primary
2004-03-09,Texas,John Edwards,14,FALSE,FALSE,primary
2004-03-13,Kansas,John Edwards,9,FALSE,FALSE,caucus
2004-03-16,Illinois,John Edwards,11,FALSE,FALSE,primary
2004-03-20,Alaska,John Edwards,3,FALSE,FALSE,caucus
2004-03-20,Wyoming,John Edwards,5,FALSE,FALSE,caucus
2004-03-27,Expatriates,John Edwards,9,FALSE,FALSE,caucus
2004-04-13,Colorado,John Edwards,1,FALSE,FALSE,caucus
2004-04-17,North Carolina,John Edwards,52,FALSE,TRUE,caucus
2004-04-17,Virgin Islands,John Edwards,0,FALSE,FALSE,caucus
2004-04-24,Guam,John Edwards,0,FALSE,FALSE,caucus
2004-04-27,Pennsylvania,John Edwards,10,FALSE,FALSE,primary
2004-05-04,Indiana,John Edwards,11,FALSE,FALSE,primary
2004-05-11,Nebraska,John Edwards,14,FALSE,FALSE,primary
2004-05-11,West Virginia,John Edwards,13,FALSE,FALSE,primary
2004-05-18,Arkansas,John Edwards,0,FALSE,FALSE,primary
2004-05-18,Kentucky,John Edwards,14,FALSE,FALSE,primary
2004-05-18,Oregon,John Edwards,0,FALSE,FALSE,primary
2004-06-01,Alabama,John Edwards,0,FALSE,FALSE,primary
2004-06-01,South Dakota,John Edwards,0,FALSE,FALSE,primary
2004-06-06,Puerto Rico,John Edwards,0,FALSE,FALSE,caucus
2004-06-08,Montana,John Edwards,9,FALSE,FALSE,primary
2004-06-08,New Jersey,John Edwards,0,FALSE,FALSE,primary
2004-01-14,District of Columbia,Richard Gephardt,0,FALSE,FALSE,primary
2004-01-19,Iowa,Richard Gephardt,11,FALSE,FALSE,caucus
2004-01-27,New Hampshire,Richard Gephardt,0,FALSE,FALSE,primary
2004-02-03,Arizona,Richard Gephardt,0,FALSE,FALSE,primary
2004-02-03,Delaware,Richard Gephardt,1,FALSE,FALSE,primary
2004-02-03,Missouri,Richard Gephardt,2,FALSE,FALSE,primary
2004-02-03,New Mexico,Richard Gephardt,1,FALSE,FALSE,caucus
2004-02-03,North Dakota,Richard Gephardt,1,FALSE,FALSE,caucus
2004-02-03,Oklahoma,Richard Gephardt,1,FALSE,FALSE,primary
2004-02-03,South Carolina,Richard Gephardt,0,FALSE,FALSE,primary
2004-02-07,Michigan,Richard Gephardt,1,FALSE,FALSE,caucus
2004-02-07,Washington,Richard Gephardt,0,FALSE,FALSE,caucus
2004-02-08,Maine,Richard Gephardt,0,FALSE,FALSE,caucus
2004-02-10,Tennessee,Richard Gephardt,0,FALSE,FALSE,primary
2004-02-10,Virginia,Richard Gephardt,0,FALSE,FALSE,primary
2004-02-14,District of Columbia,Richard Gephardt,0,FALSE,FALSE,caucus
2004-02-14,Nevada,Richard Gephardt,0,FALSE,FALSE,caucus
2004-02-17,Wisconsin,Richard Gephardt,0,FALSE,FALSE,primary
2004-02-24,Hawaii,Richard Gephardt,0,FALSE,FALSE,caucus
2004-02-24,Idaho,Richard Gephardt,0,FALSE,FALSE,caucus
2004-02-24,Utah,Richard Gephardt,0,FALSE,FALSE,primary
2004-03-02,California,Richard Gephardt,1,FALSE,FALSE,primary
2004-03-02,Connecticut,Richard Gephardt,0,FALSE,FALSE,primary
2004-03-02,Georgia,Richard Gephardt,0,FALSE,FALSE,primary
2004-03-02,Maryland,Richard Gephardt,0,FALSE,FALSE,primary
2004-03-02,Massachusetts,Richard Gephardt,0,FALSE,FALSE,primary
2004-03-02,Minnesota,Richard Gephardt,0,FALSE,FALSE,caucus
2004-03-02,New York,Richard Gephardt,1,FALSE,FALSE,primary
2004-03-02,Ohio,Richard Gephardt,1,FALSE,FALSE,primary
2004-03-02,Rhode Island,Richard Gephardt,0,FALSE,FALSE,primary
2004-03-02,Vermont[47],Richard Gephardt,0,FALSE,FALSE,primary
2004-03-09,American Samoa,Richard Gephardt,0,FALSE,FALSE,caucus
2004-03-09,Florida,Richard Gephardt,1,FALSE,FALSE,primary
2004-03-09,Louisiana,Richard Gephardt,0,FALSE,FALSE,primary
2004-03-09,Mississippi,Richard Gephardt,0,FALSE,FALSE,primary
2004-03-09,Texas,Richard Gephardt,1,FALSE,FALSE,primary
2004-03-13,Kansas,Richard Gephardt,0,FALSE,FALSE,caucus
2004-03-16,Illinois,Richard Gephardt,0,FALSE,FALSE,primary
2004-03-20,Alaska,Richard Gephardt,0,FALSE,FALSE,caucus
2004-03-20,Wyoming,Richard Gephardt,0,FALSE,FALSE,caucus
2004-03-27,Expatriates,Richard Gephardt,0,FALSE,FALSE,caucus
2004-04-13,Colorado,Richard Gephardt,0,FALSE,FALSE,caucus
2004-04-17,North Carolina,Richard Gephardt,0,FALSE,FALSE,caucus
2004-04-17,Virgin Islands,Richard Gephardt,0,FALSE,FALSE,caucus
2004-04-24,Guam,Richard Gephardt,0,FALSE,FALSE,caucus
2004-04-27,Pennsylvania,Richard Gephardt,0,FALSE,FALSE,primary
2004-05-04,Indiana,Richard Gephardt,0,FALSE,FALSE,primary
2004-05-11,Nebraska,Richard Gephardt,0,FALSE,FALSE,primary
2004-05-11,West Virginia,Richard Gephardt,0,FALSE,FALSE,primary
2004-05-18,Arkansas,Richard Gephardt,0,FALSE,FALSE,primary
2004-05-18,Kentucky,Richard Gephardt,0,FALSE,FALSE,primary
2004-05-18,Oregon,Richard Gephardt,0,FALSE,FALSE,primary
2004-06-01,Alabama,Richard Gephardt,0,FALSE,FALSE,primary
2004-06-01,South Dakota,Richard Gephardt,0,FALSE,FALSE,primary
2004-06-06,Puerto Rico,Richard Gephardt,0,FALSE,FALSE,caucus
2004-06-08,Montana,Richard Gephardt,0,FALSE,FALSE,primary
2004-06-08,New Jersey,Richard Gephardt,0,FALSE,FALSE,primary
2004-01-14,District of Columbia,John Kerry,0,TRUE,FALSE,primary
2004-01-19,Iowa,John Kerry,38,TRUE,TRUE,caucus
2004-01-27,New Hampshire,John Kerry,38,TRUE,TRUE,primary
2004-02-03,Arizona,John Kerry,43,TRUE,TRUE,primary
2004-02-03,Delaware,John Kerry,50,TRUE,TRUE,primary
2004-02-03,Missouri,John Kerry,51,TRUE,TRUE,primary
2004-02-03,New Mexico,John Kerry,42,TRUE,TRUE,caucus
2004-02-03,North Dakota,John Kerry,51,TRUE,TRUE,caucus
2004-02-03,Oklahoma,John Kerry,27,TRUE,FALSE,primary
2004-02-03,South Carolina,John Kerry,30,TRUE,FALSE,primary
2004-02-07,Michigan,John Kerry,52,TRUE,TRUE,caucus
2004-02-07,Washington,John Kerry,48,TRUE,TRUE,caucus
2004-02-08,Maine,John Kerry,45,TRUE,TRUE,caucus
2004-02-10,Tennessee,John Kerry,41,TRUE,TRUE,primary
2004-02-10,Virginia,John Kerry,52,TRUE,TRUE,primary
2004-02-14,District of Columbia,John Kerry,47,TRUE,TRUE,caucus
2004-02-14,Nevada,John Kerry,63,TRUE,TRUE,caucus
2004-02-17,Wisconsin,John Kerry,40,TRUE,TRUE,primary
2004-02-24,Hawaii,John Kerry,47,TRUE,TRUE,caucus
2004-02-24,Idaho,John Kerry,54,TRUE,TRUE,caucus
2004-02-24,Utah,John Kerry,55,TRUE,TRUE,primary
2004-03-02,California,John Kerry,64,TRUE,TRUE,primary
2004-03-02,Connecticut,John Kerry,58,TRUE,TRUE,primary
2004-03-02,Georgia,John Kerry,47,TRUE,TRUE,primary
2004-03-02,Maryland,John Kerry,60,TRUE,TRUE,primary
2004-03-02,Massachusetts,John Kerry,72,TRUE,TRUE,primary
2004-03-02,Minnesota,John Kerry,51,TRUE,TRUE,caucus
2004-03-02,New York,John Kerry,0,TRUE,FALSE,primary
2004-03-02,Ohio,John Kerry,52,TRUE,TRUE,primary
2004-03-02,Rhode Island,John Kerry,71,TRUE,TRUE,primary
2004-03-02,Vermont[47],John Kerry,31,TRUE,FALSE,primary
2004-03-09,American Samoa,John Kerry,83,TRUE,TRUE,caucus
2004-03-09,Florida,John Kerry,77,TRUE,TRUE,primary
2004-03-09,Louisiana,John Kerry,70,TRUE,TRUE,primary
2004-03-09,Mississippi,John Kerry,78,TRUE,TRUE,primary
2004-03-09,Texas,John Kerry,67,TRUE,TRUE,primary
2004-03-13,Kansas,John Kerry,72,TRUE,TRUE,caucus
2004-03-16,Illinois,John Kerry,72,TRUE,TRUE,primary
2004-03-20,Alaska,John Kerry,48,TRUE,TRUE,caucus
2004-03-20,Wyoming,John Kerry,77,TRUE,TRUE,caucus
2004-03-27,Expatriates,John Kerry,56,TRUE,TRUE,caucus
2004-04-13,Colorado,John Kerry,64,TRUE,TRUE,caucus
2004-04-17,North Carolina,John Kerry,27,TRUE,FALSE,caucus
2004-04-17,Virgin Islands,John Kerry,0,TRUE,FALSE,caucus
2004-04-24,Guam,John Kerry,77,TRUE,TRUE,caucus
2004-04-27,Pennsylvania,John Kerry,74,TRUE,TRUE,primary
2004-05-04,Indiana,John Kerry,73,TRUE,TRUE,primary
2004-05-11,Nebraska,John Kerry,73,TRUE,TRUE,primary
2004-05-11,West Virginia,John Kerry,70,TRUE,TRUE,primary
2004-05-18,Arkansas,John Kerry,66,TRUE,TRUE,primary
2004-05-18,Kentucky,John Kerry,60,TRUE,TRUE,primary
2004-05-18,Oregon,John Kerry,81,TRUE,TRUE,primary
2004-06-01,Alabama,John Kerry,75,TRUE,TRUE,primary
2004-06-01,South Dakota,John Kerry,82,TRUE,TRUE,primary
2004-06-06,Puerto Rico,John Kerry,0,TRUE,FALSE,caucus
2004-06-08,Montana,John Kerry,68,TRUE,TRUE,primary
2004-06-08,New Jersey,John Kerry,92,TRUE,TRUE,primary
2004-01-14,District of Columbia,Dennis Kucinich,8,FALSE,FALSE,primary
2004-01-19,Iowa,Dennis Kucinich,1,FALSE,FALSE,caucus
2004-01-27,New Hampshire,Dennis Kucinich,1,FALSE,FALSE,primary
2004-02-03,Arizona,Dennis Kucinich,2,FALSE,FALSE,primary
2004-02-03,Delaware,Dennis Kucinich,1,FALSE,FALSE,primary
2004-02-03,Missouri,Dennis Kucinich,1,FALSE,FALSE,primary
2004-02-03,New Mexico,Dennis Kucinich,6,FALSE,FALSE,caucus
2004-02-03,North Dakota,Dennis Kucinich,3,FALSE,FALSE,caucus
2004-02-03,Oklahoma,Dennis Kucinich,1,FALSE,FALSE,primary
2004-02-03,South Carolina,Dennis Kucinich,0,FALSE,FALSE,primary
2004-02-07,Michigan,Dennis Kucinich,3,FALSE,FALSE,caucus
2004-02-07,Washington,Dennis Kucinich,8,FALSE,FALSE,caucus
2004-02-08,Maine,Dennis Kucinich,16,FALSE,FALSE,caucus
2004-02-10,Tennessee,Dennis Kucinich,1,FALSE,FALSE,primary
2004-02-10,Virginia,Dennis Kucinich,1,FALSE,FALSE,primary
2004-02-14,District of Columbia,Dennis Kucinich,3,FALSE,FALSE,caucus
2004-02-14,Nevada,Dennis Kucinich,7,FALSE,FALSE,caucus
2004-02-17,Wisconsin,Dennis Kucinich,3,FALSE,FALSE,primary
2004-02-24,Hawaii,Dennis Kucinich,31,FALSE,FALSE,caucus
2004-02-24,Idaho,Dennis Kucinich,6,FALSE,FALSE,caucus
2004-02-24,Utah,Dennis Kucinich,7,FALSE,FALSE,primary
2004-03-02,California,Dennis Kucinich,5,FALSE,FALSE,primary
2004-03-02,Connecticut,Dennis Kucinich,3,FALSE,FALSE,primary
2004-03-02,Georgia,Dennis Kucinich,1,FALSE,FALSE,primary
2004-03-02,Maryland,Dennis Kucinich,2,FALSE,FALSE,primary
2004-03-02,Massachusetts,Dennis Kucinich,4,FALSE,FALSE,primary
2004-03-02,Minnesota,Dennis Kucinich,17,FALSE,FALSE,caucus
2004-03-02,New York,Dennis Kucinich,0,FALSE,FALSE,primary
2004-03-02,Ohio,Dennis Kucinich,9,FALSE,FALSE,primary
2004-03-02,Rhode Island,Dennis Kucinich,3,FALSE,FALSE,primary
2004-03-02,Vermont[47],Dennis Kucinich,4,FALSE,FALSE,primary
2004-03-09,American Samoa,Dennis Kucinich,17,FALSE,FALSE,caucus
2004-03-09,Florida,Dennis Kucinich,2,FALSE,FALSE,primary
2004-03-09,Louisiana,Dennis Kucinich,1,FALSE,FALSE,primary
2004-03-09,Mississippi,Dennis Kucinich,1,FALSE,FALSE,primary
2004-03-09,Texas,Dennis Kucinich,2,FALSE,FALSE,primary
2004-03-13,Kansas,Dennis Kucinich,10,FALSE,FALSE,caucus
2004-03-16,Illinois,Dennis Kucinich,2,FALSE,FALSE,primary
2004-03-20,Alaska,Dennis Kucinich,27,FALSE,FALSE,caucus
2004-03-20,Wyoming,Dennis Kucinich,6,FALSE,FALSE,caucus
2004-03-27,Expatriates,Dennis Kucinich,5,FALSE,FALSE,caucus
2004-04-13,Colorado,Dennis Kucinich,13,FALSE,FALSE,caucus
2004-04-17,North Carolina,Dennis Kucinich,12,FALSE,FALSE,caucus
2004-04-17,Virgin Islands,Dennis Kucinich,0,FALSE,FALSE,caucus
