date,state,candidate,vote_perc,won_state,is_nominee,event_type
1980-03-11,Alabama,Cliff Finch,0,FALSE,FALSE,primary
1980-03-11,Florida,Cliff Finch,0,FALSE,FALSE,primary
1980-03-11,Georgia,Cliff Finch,0.36,FALSE,FALSE,primary
1980-03-16,Puerto Rico,Cliff Finch,0,FALSE,FALSE,primary
1980-03-18,Illinois,Cliff Finch,0,FALSE,FALSE,primary
1980-03-25,Connecticut,Cliff Finch,0,FALSE,FALSE,primary
1980-03-25,New York,Cliff Finch,0,TRUE,FALSE,primary
1980-04-01,Kansas,Cliff Finch,0.32,FALSE,FALSE,primary
1980-04-01,Wisconsin,Cliff Finch,0.29,FALSE,FALSE,primary
1980-04-05,Louisiana,Cliff Finch,3.11,FALSE,FALSE,primary
1980-04-22,Pennsylvania,Cliff Finch,0,FALSE,FALSE,primary
1980-04-22,Vermont,Cliff Finch,0,FALSE,FALSE,caucus
1980-04-26,Michigan,Cliff Finch,0,FALSE,FALSE,caucus
1980-05-03,Texas,Cliff Finch,0,FALSE,FALSE,primary
1980-05-06,Washington D.C.,Cliff Finch,0,FALSE,FALSE,primary
1980-05-06,Indiana,Cliff Finch,0,FALSE,FALSE,primary
1980-05-06,North Carolina,Cliff Finch,0,FALSE,FALSE,primary
1980-05-06,Tennessee,Cliff Finch,0.56,FALSE,FALSE,primary
1980-05-13,Nebraska,Cliff Finch,0,FALSE,FALSE,primary
1980-05-13,Maryland,Cliff Finch,1.03,FALSE,FALSE,primary
1980-05-20,Oregon,Cliff Finch,0,FALSE,FALSE,primary
1980-05-20,Michigan **,Cliff Finch,0,FALSE,FALSE,caucus
1980-05-27,Arkansas,Cliff Finch,4.34,FALSE,FALSE,primary
1980-05-27,Idaho,Cliff Finch,0,FALSE,FALSE,primary
1980-05-27,Kentucky,Cliff Finch,1.05,FALSE,FALSE,primary
1980-05-27,Nevada,Cliff Finch,0,FALSE,FALSE,primary
1980-06-03,California,Cliff Finch,0,FALSE,FALSE,primary
1980-06-03,Montana,Cliff Finch,0,FALSE,FALSE,primary
1980-06-03,New Jersey,Cliff Finch,0,FALSE,FALSE,primary
